"TOA5","CR1000_SN6134","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","CVMeta"
"TS","RN","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees",""
"","","Avg","Tot","WVc","WVc","WVc","Max","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Smp"
"2024-04-05 13:53:00",138,261,0,1.81,56.24,24.26,2.23,-18,0.8,1001.483,53.8,-12.55,-2.05,1.2,""
"2024-04-05 13:54:00",139,261,0,1.618,55.63,17.65,2.36,-17.92,0.8,1001.467,52.9,-12.68,-2.233,1.183,""
"2024-04-05 13:55:00",140,260.3,0,1.453,66.52,20.63,2.22,-17.92,0.8,1001.417,53.5,-12.8,-2.133,1.267,""
"2024-04-05 13:56:00",141,260,0,1.9,68.61,15.16,2.16,-18.2,0.8,1001.4,53.6,-12.88,-2.417,1.183,""
"2024-04-05 13:57:00",142,259.7,0,1.658,78.03,13.2,2.38,-18.15,0.8,1001.4,52.3,-13,-2.333,1.1,""
"2024-04-05 13:58:00",143,258.8,0,1.663,80.3,18.72,2.66,-18.13,0.8,1001.4,51.4,-13.13,-2.233,1.217,""
"2024-04-05 13:59:00",144,258,0,1.292,79.4,16.64,1.74,-18.1,0.8,1001.4,52.7,-13.28,-2.133,1.283,""
"2024-04-05 14:00:00",145,257.3,0,1.725,75.55,18.49,2.91,-18.17,0.8,1001.4,54.5,-13.35,-2.15,1.267,""
"2024-04-05 14:01:00",146,256.3,0,1.157,77.24,11.85,1.49,-18.12,0.8,1001.433,53.8,-13.52,-2.15,1.2,""
"2024-04-05 14:02:00",147,255.8,0,1.037,99.8,23.24,1.3,-18.08,0.8,1001.483,52.9,-13.55,-2.083,1.233,""
"2024-04-05 14:03:00",148,254.5,0,1.483,166,13.9,1.76,-18.47,0.8,1001.483,54.3,-13.6,-2.117,1.25,""
"2024-04-05 14:04:00",149,253.8,0,0.873,188.2,5.218,1.09,-18.4,0.8,1001.5,54.8,-13.63,-2.183,1.267,""
"2024-04-05 14:05:00",150,252.7,0,1.115,189,6.012,1.37,-18.55,0.8,1001.5,56.5,-13.67,-2.05,1.25,""
"2024-04-05 14:06:00",151,251.8,0,1.422,173.5,13.3,1.79,-18.57,0.8,1001.483,55.9,-13.68,-2.283,1.35,""
"2024-04-05 14:07:00",152,250.7,0,1.105,92,23.24,1.42,-18.43,0.8,1001.45,53.1,-13.72,-2.117,1.3,""
"2024-04-05 14:08:00",153,249.8,0,0.933,117.1,20.73,1.14,-18.13,0.8,1001.5,52.5,-13.72,-2.217,1.35,""
"2024-04-05 14:09:00",154,248.7,0,1.305,115.6,20.9,1.69,-18.38,0.8,1001.5,55.7,-13.73,-2.183,1.25,""
"2024-04-05 14:10:00",155,247.2,0,2.013,177.2,11.34,2.55,-18.82,0.8,1001.5,57.6,-13.82,-2.117,1.283,""
"2024-04-05 14:11:00",156,246.8,0,1.372,190.2,17.58,2.26,-18.75,0.8,1001.5,55.8,-13.83,-2.117,1.267,""
"2024-04-05 14:12:00",157,245.8,0,1.678,181.7,6.049,1.95,-19.75,0.8,1001.533,63.3,-13.97,-2.183,1.267,""
"2024-04-05 14:13:00",158,245.2,0,2.417,193.9,3.481,2.87,-20.07,0.8,1001.5,59.6,-14.1,-2.133,1.3,""
"2024-04-05 14:14:00",159,244.5,0,2.375,194.9,5.35,2.6,-19.97,0.7833332,1001.5,60.2,-14.3,-2.017,1.2,""
"2024-04-05 14:15:00",160,243.7,0,2.363,188.3,8.53,2.71,-19.57,0.7666666,1001.5,58.4,-14.47,-2.117,1.367,""
"2024-04-05 14:16:00",161,242.3,0,2.607,191.2,1.274,2.87,-19.5,0.8,1001.567,58.5,-14.6,-2.117,1.317,""
"2024-04-05 14:17:00",162,237.5,0,2.363,189.4,1.28,2.49,-19.33,0.8,1001.583,57.3,-14.73,-2.1,1.183,""
"2024-04-05 14:18:00",163,201,0,1.995,180.9,2.832,2.14,-19.2,0.8,1001.617,56.9,-14.93,-2.1,1.317,""
"2024-04-05 14:19:00",164,139.5,0,1.818,184.7,6.106,2.02,-19.3,0.8,1001.7,57.1,-15.17,-2.133,1.267,""
"2024-04-05 14:20:00",165,79.33,0,1.653,190.9,2.632,1.87,-19.37,0.7666666,1001.717,58.7,-15.5,-2.2,1.333,""
"2024-04-05 14:21:00",166,52.5,0,1.378,190.1,5.68,1.61,-19.82,0.7166666,1001.733,57.6,-15.73,-2.267,1.4,""
"2024-04-05 14:22:00",167,51.83,0,1.38,192.4,2.42,1.54,-20.18,0.7,1001.7,59.4,-15.98,-2.117,1.417,""
"2024-04-05 14:23:00",168,51,0,1.508,195.3,1.718,1.58,-20,0.7,1001.7,57.4,-16.15,-2.233,1.367,""
"2024-04-05 14:24:00",169,51,0,1.605,195.3,1.736,1.73,-19.75,0.7,1001.683,57.2,-16.42,-2.217,1.333,""
"2024-04-05 14:25:00",170,51,0,1.593,195.7,1.943,1.83,-19.35,0.7,1001.683,54.3,-16.65,-2.15,1.317,""
